,nome_munic,doseunica,segundadose,primeiradose
296,MOGI MIRIM,2424,59834,76487
297,MOGI GUAÇU,3989,85330,118309
298,MOGI DAS CRUZES,10076,250625,336793
299,MOCOCA,1662,43750,57537
300,MIRASSOLÂNDIA,120,3192,4184
301,MIRASSOL,1690,39089,48906
302,MIRANTE DO PARANAPANEMA,361,10181,13381
303,MIRANDÓPOLIS,525,18487,24448
304,MIRACATU,404,11349,15803
305,MIRA ESTRELA,53,2152,2498
306,MINEIROS DO TIETÊ,310,7410,9420
307,MIGUELÓPOLIS,631,12572,16326
308,MESÓPOLIS,37,1361,1714
309,MERIDIANO,90,2686,3417
310,MENDONÇA,120,3884,5046
311,MAUÁ,12836,233692,323333
312,MATÃO,2231,52844,68618
313,MARTINÓPOLIS,548,17079,21408
314,MARINÓPOLIS,40,1440,1633
315,MARÍLIA,4455,137182,190091
316,MARIÁPOLIS,109,2469,2908
317,MARAPOAMA,71,2149,2593
318,MARACAÍ,283,8396,10875
319,MARABÁ PAULISTA,59,3021,4307
320,MANDURI,246,6476,8100
321,MAIRIPORÃ,2423,49942,72074
322,MAIRINQUE,1205,28585,43319
323,MAGDA,65,2191,2661
324,MACEDÔNIA,80,2725,3189
325,MACAUBAL,206,4890,6183
326,MACATUBA,437,10510,13588
327,LUTÉCIA,55,1834,2227
328,LUPÉRCIO,107,2393,3405
329,LUIZIÂNIA,120,3283,4031
330,LUÍS ANTÔNIO,438,7639,10162
331,LUCIANÓPOLIS,44,1610,2079
332,LUCÉLIA,583,13065,16959
333,LOUVEIRA,1633,27682,39119
334,LOURDES,47,1525,1860
335,LORENA,2044,47672,68047
336,LINS,1744,47375,61116
337,LINDÓIA,224,4584,5814
338,LIMEIRA,8509,158573,238495
339,LENÇÓIS PAULISTA,1864,38433,54863
340,LEME,2690,60320,79968
341,LAVRINHAS,186,3503,4982
342,LAVÍNIA,117,8366,10084
343,LARANJAL PAULISTA,636,17393,23343
344,LAGOINHA,88,3883,4560
345,JUQUITIBA,711,17541,25336
346,JUQUIÁ,395,9927,14184
347,JUNQUEIRÓPOLIS,409,14007,16957
348,JUNDIAÍ,11228,265958,337127
349,JUMIRIM,98,2138,2778
350,JÚLIO MESQUITA,118,2834,3616
351,JOSÉ BONIFÁCIO,1011,22711,29352
352,JOÃO RAMALHO,119,2763,3454
353,JOANÓPOLIS,391,8153,11117
354,JERIQUARA,71,2003,2809
355,JAÚ,3653,78234,109963
356,JARINU,874,18773,26789
357,JARDINÓPOLIS,1174,24797,35895
358,JANDIRA,3364,57448,90207
359,JAMBEIRO,185,3616,4712
360,JALES,946,30893,40974
361,JAGUARIÚNA,1658,36655,47339
362,JACUPIRANGA,379,9201,12730
363,JACI,187,4814,6110
364,JACAREÍ,5553,118158,175107
365,JABOTICABAL,1766,45429,60726
366,JABORANDI,163,4104,5099
367,ITUVERAVA,1075,25808,31224
368,ITUPEVA,1902,35351,50047
369,ITU,5152,109986,143580
370,ITOBI,204,4199,6314
371,ITIRAPUÃ,162,3738,4858
372,ITIRAPINA,406,9233,14122
373,ITATINGA,528,11523,15432
374,ITATIBA,3343,70924,95741
375,ITARIRI,401,8184,11501
376,ITARARÉ,1115,30712,36863
377,ITAQUAQUECETUBA,9733,162866,268829
378,ITAPURA,75,2645,3364
379,ITAPUÍ,360,8005,10747
380,ITAPORANGA,314,9240,11862
381,ITÁPOLIS,1041,24581,32903
382,ITAPIRAPUÃ PAULISTA,85,2715,3449
383,ITAPIRA,1840,47913,61088
384,ITAPEVI,6655,110742,184024
385,ITAPEVA,2041,56834,74298
386,ITAPETININGA,2946,94514,129350
387,ITAPECERICA DA SERRA,4147,90008,125754
388,ITAOCA,49,2434,2779
389,ITANHAÉM,2131,63766,90809
390,ITAJU,98,2005,2879
391,ITAJOBI,360,10685,13350
392,ITAÍ,689,16945,21592
393,ITABERÁ,362,12336,14876
394,IRAPURU,79,5156,6766
395,IRAPUÃ,209,4482,5753
396,IRACEMÁPOLIS,696,12592,17835
397,IPUÃ,443,9334,12130
398,IPORANGA,31,2483,3190
399,IPIGUÁ,120,3540,4595
400,IPEÚNA,179,3886,5270
401,IPERÓ,980,19112,25946
402,IPAUSSU,367,8754,11021
403,INÚBIA PAULISTA,90,2546,3041
404,INDIAPORÃ,82,2872,3403
405,INDIANA,112,3193,3953
406,INDAIATUBA,6873,161519,205873
407,ILHABELA,860,20784,31506
408,ILHA SOLTEIRA,502,17753,21787
409,ILHA COMPRIDA,195,7230,10740
410,IGUAPE,600,18127,23893
411,IGARATÁ,215,6055,8537
412,IGARAPAVA,768,16751,21780
413,IGARAÇU DO TIETÊ,694,14948,18793
414,IEPÊ,184,5518,6447
415,ICÉM,235,4559,6342
416,IBIÚNA,2091,30488,60377
417,IBITINGA,1663,35602,47481
418,IBIRAREMA,159,4283,5394
419,IBIRÁ,341,7635,9779
420,IBATÉ,1020,19733,26736
421,IARAS,191,5853,7361
422,IACRI,143,4150,5215
423,IACANGA,362,7213,8935
424,HORTOLÂNDIA,6739,124498,181344
425,HOLAMBRA,413,9728,13024
426,HERCULÂNDIA,226,4856,6922
427,GUZOLÂNDIA,115,3067,3731
428,GUATAPARÁ,210,4761,6035
429,GUARULHOS,37356,739401,1034669
430,GUARUJÁ,8356,159719,236491
431,GUARIBA,1159,21838,30497
432,GUAREÍ,432,10298,13225
433,GUARATINGUETÁ,3080,75318,95455
434,GUARAREMA,848,19621,26056
435,GUARARAPES,825,19758,25441
436,GUARANTÃ,182,3518,5031
437,GUARANI D'OESTE,30,1484,1724
438,GUARACI,317,6184,8371
439,GUARAÇAÍ,194,5187,6444
440,GUARÁ,508,12177,15580
441,GUAPIARA,392,10376,14245
442,GUAPIAÇU,554,12292,17357
443,GUAÍRA,1031,25020,32444
444,GUAIMBÊ,130,3408,4341
