,nome_munic,doseunica,primeiradose,segundadose,terceiradose,pop
325,MACAUBAL,206,6280,5574,698,7749
326,MACATUBA,437,13733,12189,1239,16932
327,LUTÉCIA,55,2227,1991,286,2621
328,LUPÉRCIO,107,3432,2978,247,4421
329,LUIZIÂNIA,120,4064,3557,304,5754
330,LUÍS ANTÔNIO,437,10246,8762,746,14166
331,LUCIANÓPOLIS,44,2142,1830,238,2261
332,LUCÉLIA,583,17013,15259,1639,21019
333,LOUVEIRA,1634,40034,34457,2085,48268
334,LOURDES,47,1871,1704,342,2182
335,LORENA,2037,68718,55655,5314,86639
336,LINS,1743,61521,51871,6580,75087
337,LINDÓIA,224,5894,5110,528,7722
338,LIMEIRA,8503,241522,189744,15688,296300
339,LENÇÓIS PAULISTA,1864,55636,44600,3090,66343
340,LEME,2689,80690,67633,6755,100975
341,LAVRINHAS,186,5022,4015,290,7167
342,LAVÍNIA,117,10108,9550,431,8500
343,LARANJAL PAULISTA,636,23623,19471,1865,27834
344,LAGOINHA,88,4626,4299,658,4819
345,JUQUITIBA,711,25697,20522,1623,30401
346,JUQUIÁ,395,14373,11320,1144,18828
347,JUNQUEIRÓPOLIS,409,17028,15429,1773,20065
348,JUNDIAÍ,11230,346847,299756,31433,407016
349,JUMIRIM,98,2824,2398,203,3306
350,JÚLIO MESQUITA,118,3639,3225,349,4640
351,JOSÉ BONIFÁCIO,1013,29604,26641,2900,35981
352,JOÃO RAMALHO,119,3478,3185,292,4384
353,JOANÓPOLIS,391,11217,9332,985,12666
354,JERIQUARA,71,2875,2463,158,3141
355,JAÚ,3654,110749,93190,10248,147505
356,JARINU,874,27603,21638,1155,29820
357,JARDINÓPOLIS,1174,36144,27691,2320,42893
358,JANDIRA,3363,91780,68295,3841,123603
359,JAMBEIRO,185,4732,4227,436,6214
360,JALES,946,41200,34546,4362,47254
361,JAGUARIÚNA,1658,47927,41368,3012,54848
362,JACUPIRANGA,379,12881,10019,1020,17222
363,JACI,187,6234,5875,623,6969
364,JACAREÍ,5553,176696,135653,11877,227945
365,JABOTICABAL,1766,60982,51217,6040,74221
366,JABORANDI,163,5128,4609,489,6677
367,ITUVERAVA,1075,31447,27580,3310,40246
368,ITUPEVA,1902,51234,43270,1927,59159
369,ITU,5153,145681,121301,11815,169772
370,ITOBI,204,6373,4817,456,7609
371,ITIRAPUÃ,164,4937,4337,429,6279
372,ITIRAPINA,406,14227,11176,904,17162
373,ITATINGA,528,15541,12759,887,20550
374,ITATIBA,3343,96406,80725,7526,117916
375,ITARIRI,402,11659,9685,910,17274
376,ITARARÉ,1115,36970,33170,2413,49018
377,ITAQUAQUECETUBA,9746,274468,194993,10639,370589
378,ITAPURA,75,3389,3002,360,4916
379,ITAPUÍ,360,10869,9173,828,13779
380,ITAPORANGA,315,11928,10385,1029,14688
381,ITÁPOLIS,1041,33202,28457,2966,41548
382,ITAPIRAPUÃ PAULISTA,85,3481,3217,205,4180
383,ITAPIRA,1840,61431,54230,5813,71500
384,ITAPEVI,6643,188951,130469,6429,237714
385,ITAPEVA,2041,74674,67346,5988,91693
386,ITAPETININGA,2946,130254,108854,11469,160150
387,ITAPECERICA DA SERRA,4148,127442,103390,6469,169619
388,ITAOCA,49,2790,2628,333,3186
389,ITANHAÉM,2132,92078,72999,8745,98757
390,ITAJU,97,2892,2465,248,3654
391,ITAJOBI,360,13608,12331,1552,14614
392,ITAÍ,689,21740,19175,1441,26507
393,ITABERÁ,363,15041,14210,1604,17614
394,IRAPURU,79,6804,5992,663,7334
395,IRAPUÃ,209,5786,4918,571,7734
396,IRACEMÁPOLIS,696,18027,15276,1110,23654
397,IPUÃ,444,12190,10417,984,15861
398,IPORANGA,31,3199,2826,333,4407
399,IPIGUÁ,120,4726,4048,478,5231
400,IPEÚNA,179,5305,4325,352,7571
401,IPERÓ,980,26254,22332,1376,34352
402,IPAUSSU,367,11109,10060,1113,14506
403,INÚBIA PAULISTA,90,3061,2916,416,3892
404,INDIAPORÃ,82,3414,3172,466,3854
405,INDIANA,112,3994,3606,394,4775
406,INDAIATUBA,6873,208538,190002,17653,242868
407,ILHABELA,861,31925,26777,2120,33470
408,ILHA SOLTEIRA,502,21934,19714,2664,25748
409,ILHA COMPRIDA,195,10940,8633,771,10296
410,IGUAPE,600,24086,19911,2314,29465
411,IGARATÁ,215,8817,7426,654,9312
412,IGARAPAVA,770,21913,18031,1704,29456
413,IGARAÇU DO TIETÊ,694,18886,16696,1321,24135
414,IEPÊ,184,6464,6090,916,7921
415,ICÉM,234,6386,5632,596,8032
416,IBIÚNA,2088,63559,41873,1215,76430
417,IBITINGA,1663,47984,40447,4676,58501
418,IBIRAREMA,159,5430,4896,654,7509
419,IBIRÁ,341,9874,8443,1021,12059
420,IBATÉ,1020,26905,22731,1628,34738
421,IARAS,191,7406,6744,436,6894
422,IACRI,143,5243,4692,578,6272
423,IACANGA,362,8983,8466,971,11306
424,HORTOLÂNDIA,6738,183351,148876,7946,230268
425,HOLAMBRA,413,13293,11194,792,14493
426,HERCULÂNDIA,226,7018,5678,527,9260
427,GUZOLÂNDIA,115,3752,3376,434,5107
428,GUATAPARÁ,210,6124,5254,623,7440
429,GUARULHOS,37384,1046987,826610,60548,1351275
430,GUARUJÁ,8355,245693,180639,16113,316405
431,GUARIBA,1158,30751,26417,1860,39021
432,GUAREÍ,432,13310,11864,861,15750
433,GUARATINGUETÁ,3080,96102,81921,6984,118345
434,GUARAREMA,848,26410,22283,1749,29429
435,GUARARAPES,825,25571,22646,2675,32076
436,GUARANTÃ,182,5068,4278,523,6477
437,GUARANI D'OESTE,30,1730,1579,262,1922
438,GUARACI,317,8437,7313,857,10978
439,GUARAÇAÍ,194,6478,5891,732,8412
440,GUARÁ,508,15670,13499,1786,20824
441,GUAPIARA,393,14372,11604,767,17775
442,GUAPIAÇU,554,17579,14097,1246,20848
443,GUAÍRA,1029,32698,29086,3040,39061
444,GUAIMBÊ,130,4413,3907,433,5534
445,GUAIÇARA,317,9247,7823,583,11947
446,GLICÉRIO,125,3608,3172,365,4749
447,GETULINA,255,8984,7695,795,10847
448,GENERAL SALGADO,236,8668,7608,1037,10648
449,GAVIÃO PEIXOTO,127,3879,3473,320,4610
450,GASTÃO VIDIGAL,151,2884,2704,377,4768
451,GARÇA,991,34935,30181,3185,42483
452,GÁLIA,134,5504,4943,800,6563
453,GABRIEL MONTEIRO,62,2321,2110,252,2684
454,FRANCO DA ROCHA,7034,122753,98598,6569,152201
455,FRANCISCO MORATO,4482,135421,103354,5139,174403
456,FRANCA,8450,282552,230727,20244,342125
457,FLORÍNEA,28,3993,3137,347,2703
458,FLÓRIDA PAULISTA,279,10202,9512,1206,12120
459,FLOREAL,50,2477,2369,503,2856
460,FLORA RICA,19,1307,1238,280,1589
461,FERRAZ DE VASCONCELOS,5248,131097,103942,8150,193037
462,FERNÃO,30,1443,1310,197,1649
463,FERNANDÓPOLIS,1481,59553,52519,7504,66112
464,FERNANDO PRESTES,125,4935,4544,735,5572
465,FARTURA,370,13324,11336,1290,15644
466,EUCLIDES DA CUNHA PAULISTA,202,6418,5081,543,9537
467,ESTRELA DO NORTE,48,2256,2155,216,2665
468,ESTRELA D'OESTE,207,7303,6443,908,8094
469,ESTIVA GERBI,319,8872,6978,557,11079
470,ESPÍRITO SANTO DO TURVO,105,4046,3406,294,4799
471,ESPÍRITO SANTO DO PINHAL,1006,35160,29455,4176,42573
472,ENGENHEIRO COELHO,632,16288,12685,790,20535
473,EMILIANÓPOLIS,70,2586,2430,389,3068
474,EMBU-GUAÇU,1430,51949,43159,3851,68053
475,EMBU DAS ARTES,7201,204153,165622,20065,270790
476,EMBAÚBA,60,1876,1743,250,2409
477,ELISIÁRIO,100,2639,2433,361,3499
478,ELIAS FAUSTO,540,14201,12474,1046,17346
479,ELDORADO,174,11026,8705,820,15236
480,ECHAPORÃ,126,5281,4365,618,6217
481,DUMONT,288,8316,6553,593,9570
482,DUARTINA,292,10593,9460,1027,11975
483,DRACENA,847,38053,33448,4011,44995
484,DOURADO,215,7359,6689,733,8482
