,nome_munic,doseunica,primeiradose,segundadose,terceiradose,pop
610,ARAÇOIABA DA SERRA,816,26457,22264,2082,32390
611,ARAÇATUBA,4809,162482,135019,15714,190469
612,ARAÇARIGUAMA,587,17474,13642,753,20980
613,APIAÍ,515,19584,16387,1359,24666
614,APARECIDA D'OESTE,78,3731,3413,598,4132
615,APARECIDA,927,27819,22830,2069,35709
616,ANHUMAS,83,3265,3025,292,3963
617,ANHEMBI,148,5156,4203,375,6672
618,ANGATUBA,477,19258,15707,1189,24501
619,ANDRADINA,1294,47266,39592,3751,56054
620,ANALÂNDIA,120,3705,3107,284,4850
621,AMPARO,1757,60207,50998,6135,69639
622,AMÉRICO DE CAMPOS,125,4844,4496,477,5736
623,AMÉRICO BRASILIENSE,1087,28333,23535,2607,40243
624,AMERICANA,6210,191201,160460,14138,233458
625,ALVINLÂNDIA,68,2487,1965,199,3176
626,ÁLVARO DE CARVALHO,107,5394,4287,344,5044
627,ÁLVARES MACHADO,600,19810,16848,1709,23789
628,ÁLVARES FLORENCE,80,3325,3100,405,3621
629,ALUMÍNIO,508,13966,11570,870,17972
630,ALTO ALEGRE,100,3360,3019,466,4017
631,ALTINÓPOLIS,384,13497,12535,1675,15553
632,ALTAIR,115,2898,2565,369,4036
633,ALFREDO MARCONDES,83,3881,3586,578,3927
634,ALAMBARI,171,4670,3946,332,5779
635,AGUDOS,873,32240,26487,2425,36134
636,ÁGUAS DE SÃO PEDRO,58,3442,3067,537,3122
637,ÁGUAS DE SANTA BÁRBARA,136,5166,4384,557,5931
638,ÁGUAS DE LINDÓIA,463,16355,14544,1430,18374
639,ÁGUAS DA PRATA,193,6566,6056,797,7797
640,AGUAÍ,1043,27507,23975,2124,35608
641,ADOLFO,77,3746,3448,510,3447
642,ADAMANTINA,878,29555,25354,3537,33894
